# Schmincke - NORMA BLUE (huile diluable a l'eau)
#
# Meme chimie de sechage qu'une huile classique : la polymerisation reste une oxydation,
# l'eau ne fait que remplacer le diluant petrolier. Les temps annonces par l'application
# restent donc valables ; seul le nettoyage change.
#
# COUVERTURE : les 48 couleurs de la gamme, au complet.
#
# PROVENANCE : noms, references et pigments extraits du catalogue en ligne du fabricant
# (schmincke.de/en/produkte/oel/norma-blue), qui les publie dans les attributs de chaque
# fiche. Ce sont donc les donnees du fabricant, pas une lecture approximative.
#
# L'opacite reprend la notation Schmincke : D deckend (opaque), HD halbdeckend,
# HL halblasierend, L lasierend (transparent).
#
# La colonne hex est vide : Schmincke ne publie pas de valeur numerique. La teinte est
# donc deduite des pigments declares et l'application signale ces tubes comme
# approximatifs. Relevez-les a la pipette sur vos propres ecouvillons.
brand;name;code;pigments;opacity;hex;verified
Schmincke Norma Blue;Titanium White;21114;PW6;OPAQUE;;true
Schmincke Norma Blue;Mixing White;21120;PW6 PW7 PW5;SEMI_OPAQUE;;true
Schmincke Norma Blue;Burnt Ochre Light;21220;PW6 PY42 PR101 PW7;OPAQUE;;true
Schmincke Norma Blue;Naples Yellow Light;21226;PY53 PBr24;OPAQUE;;true
Schmincke Norma Blue;Lemon Yellow;21236;PY3;SEMI_OPAQUE;;true
Schmincke Norma Blue;Cadmium Yellow Hue Lemon;21237;PY155 PY184;OPAQUE;;true
Schmincke Norma Blue;Cadmium Yellow Hue Light;21239;PY155 PY184;OPAQUE;;true
Schmincke Norma Blue;Cadmium Yellow Hue Medium;21241;PY155 PY184 PO67;OPAQUE;;true
Schmincke Norma Blue;Cadmium Yellow Hue Deep;21243;PY155 PY184 PO67;OPAQUE;;true
Schmincke Norma Blue;Indian Yellow;21248;PY128 PY110;TRANSPARENT;;true
Schmincke Norma Blue;Cadmium Orange Hue;21301;PY184 PO67;OPAQUE;;true
Schmincke Norma Blue;Poppy Red;21304;PO71;TRANSPARENT;;true
Schmincke Norma Blue;Vermilion Light;21306;PO67 PR255;OPAQUE;;true
Schmincke Norma Blue;Cadmium Red Hue Light;21309;PY184 PR255;OPAQUE;;true
Schmincke Norma Blue;Cadmium Red Hue Medium;21311;PY216 PR254;OPAQUE;;true
Schmincke Norma Blue;Cadmium Red Hue Deep;21313;PV19 PY216 PR254;OPAQUE;;true
Schmincke Norma Blue;Madder Red;21318;PR207 PR264;SEMI_TRANSPARENT;;true
Schmincke Norma Blue;Alizarin Crimson Hue;21342;PR179;TRANSPARENT;;true
Schmincke Norma Blue;Ruby Red;21346;PR122;TRANSPARENT;;true
Schmincke Norma Blue;Magenta;21348;PR122 PW7;SEMI_OPAQUE;;true
Schmincke Norma Blue;Violet Dark;21352;PV23;TRANSPARENT;;true
Schmincke Norma Blue;Ultramarine Blue Deep;21402;PB29;TRANSPARENT;;true
Schmincke Norma Blue;Ultramarine Blue Light;21404;PB29;TRANSPARENT;;true
Schmincke Norma Blue;Royal Blue;21406;PW6 PB29 PW7;OPAQUE;;true
Schmincke Norma Blue;Cobalt Blue Hue Deep;21407;PB15:3 PB29 PW7 PV62;SEMI_OPAQUE;;true
Schmincke Norma Blue;Indigo;21416;PR101 PB60;SEMI_TRANSPARENT;;true
Schmincke Norma Blue;Prussian Blue;21418;PB27;SEMI_TRANSPARENT;;true
Schmincke Norma Blue;Phthalo Blue;21420;PB15:3;TRANSPARENT;;true
Schmincke Norma Blue;Cerulean Blue;21422;PW6 PB15:3 PG18 PW7;OPAQUE;;true
Schmincke Norma Blue;Azure Blue;21424;PW6 PB15:3 PW7;OPAQUE;;true
Schmincke Norma Blue;Cobalt Turquoise Hue;21425;PB16 PG18 PW7;OPAQUE;;true
Schmincke Norma Blue;Phthalo Green;21500;PG7;TRANSPARENT;;true
Schmincke Norma Blue;Chromium Oxide Green Brilliant;21502;PG18;SEMI_TRANSPARENT;;true
Schmincke Norma Blue;Permanent Green;21508;PG7 PY151;OPAQUE;;true
Schmincke Norma Blue;Permanent Yellowish-Green;21510;PY184 PY150 PG36;OPAQUE;;true
Schmincke Norma Blue;Olive Green;21512;PY42 PY150 PB60;OPAQUE;;true
Schmincke Norma Blue;Sap Green;21514;PY150 PB60;TRANSPARENT;;true
Schmincke Norma Blue;Natural Green Earth;21519;PBr7;SEMI_TRANSPARENT;;true
Schmincke Norma Blue;Raw Light Ochre;21600;PY42;SEMI_OPAQUE;;true
Schmincke Norma Blue;Yellow Ochre;21602;PY42 PBr24;OPAQUE;;true
Schmincke Norma Blue;Natural Burnt Sienna;21610;PBr7;SEMI_OPAQUE;;true
Schmincke Norma Blue;Natural Umber;21622;PY42 PBr7;SEMI_OPAQUE;;true
Schmincke Norma Blue;Natural Burnt Umber;21624;PBr7;OPAQUE;;true
Schmincke Norma Blue;Vandyke Brown;21626;PR101 PR179 PBk7;SEMI_OPAQUE;;true
Schmincke Norma Blue;Neutral Black;21700;PR179 PG7;SEMI_TRANSPARENT;;true
Schmincke Norma Blue;Mineral Black;21705;PBk28;OPAQUE;;true
Schmincke Norma Blue;Payne's Grey;21706;PV23 PB29 PBk11 PBk7;SEMI_TRANSPARENT;;true
Schmincke Norma Blue;Classic Gold;21802;EFFEKT;OPAQUE;;true
